acre_foot,ag_demand,meat_demand,industry_demand,urban_demand,agg_mwtp
0,88.63,79.38,233.1,165.28,
1,88.12,79.01,231.97,164.683,
2,87.61,78.64,230.84,164.086,
3,87.1,78.27,229.71,163.489,
4,86.59,77.9,228.58,162.892,
5,86.08,77.53,227.45,162.295,
6,85.57,77.16,226.32,161.698,
7,85.06,76.79,225.19,161.101,
8,84.55,76.42,224.06,160.504,
9,84.04,76.05,222.93,159.907,
10,83.53,75.68,221.8,159.31,
11,83.02,75.31,220.67,158.713,
12,82.51,74.94,219.54,158.116,
13,82,74.57,218.41,157.519,
14,81.49,74.2,217.28,156.922,
15,80.98,73.83,216.15,156.325,
16,80.47,73.46,215.02,155.728,
17,79.96,73.09,213.89,155.131,
18,79.45,72.72,212.76,154.534,
19,78.94,72.35,211.63,153.937,
20,78.43,71.98,210.5,153.34,
21,77.92,71.61,209.37,152.743,
22,77.41,71.24,208.24,152.146,
23,76.9,70.87,207.11,151.549,
24,76.39,70.5,205.98,150.952,
25,75.88,70.13,204.85,150.355,
26,75.37,69.76,203.72,149.758,
27,74.86,69.39,202.59,149.161,
28,74.35,69.02,201.46,148.564,
29,73.84,68.65,200.33,147.967,
30,73.33,68.28,199.2,147.37,
31,72.82,67.91,198.07,146.773,
32,72.31,67.54,196.94,146.176,
33,71.8,67.17,195.81,145.579,
34,71.29,66.8,194.68,144.982,
35,70.78,66.43,193.55,144.385,
36,70.27,66.06,192.42,143.788,
37,69.76,65.69,191.29,143.191,
38,69.25,65.32,190.16,142.594,
39,68.74,64.95,189.03,141.997,
40,68.23,64.58,187.9,141.4,
41,67.72,64.21,186.77,140.803,
42,67.21,63.84,185.64,140.206,
43,66.7,63.47,184.51,139.609,
44,66.19,63.1,183.38,139.012,
45,65.68,62.73,182.25,138.415,
46,65.17,62.36,181.12,137.818,
47,64.66,61.99,179.99,137.221,
48,64.15,61.62,178.86,136.624,
49,63.64,61.25,177.73,136.027,
50,63.13,60.88,176.6,135.43,
51,62.62,60.51,175.47,134.833,
52,62.11,60.14,174.34,134.236,
53,61.6,59.77,173.21,133.639,
54,61.09,59.4,172.08,133.042,
55,60.58,59.03,170.95,132.445,
56,60.07,58.66,169.82,131.848,
57,59.56,58.29,168.69,131.251,
58,59.05,57.92,167.56,130.654,
59,58.54,57.55,166.43,130.057,
60,58.03,57.18,165.3,129.46,
61,57.52,56.81,164.17,128.863,
62,57.01,56.44,163.04,128.266,
63,56.5,56.07,161.91,127.669,
64,55.99,55.7,160.78,127.072,
65,55.48,55.33,159.65,126.475,
66,54.97,54.96,158.52,125.878,
67,54.46,54.59,157.39,125.281,
68,53.95,54.22,156.26,124.684,
69,53.44,53.85,155.13,124.087,
70,52.93,53.48,154,123.49,
71,52.42,53.11,152.87,122.893,
72,51.91,52.74,151.74,122.296,
73,51.4,52.37,150.61,121.699,
74,50.89,52,149.48,121.102,
75,50.38,51.63,148.35,120.505,
76,49.87,51.26,147.22,119.908,
77,49.36,50.89,146.09,119.311,
78,48.85,50.52,144.96,118.714,
79,48.34,50.15,143.83,118.117,
80,47.83,49.78,142.7,117.52,
81,47.32,49.41,141.57,116.923,
82,46.81,49.04,140.44,116.326,
83,46.3,48.67,139.31,115.729,
84,45.79,48.3,138.18,115.132,
85,45.28,47.93,137.05,114.535,
86,44.77,47.56,135.92,113.938,
87,44.26,47.19,134.79,113.341,
88,43.75,46.82,133.66,112.744,
89,43.24,46.45,132.53,112.147,
90,42.73,46.08,131.4,111.55,
91,42.22,45.71,130.27,110.953,
