Agriculture,,,Meat,,,Industry,,,Urban,
acre_foot,ag_demand,,E,meat_demand,,E,industry_demand,,E,urban_demand
0,88.63,,0,79.38,,0,233.1,,0,165.28
1,88.12,,1,79.01,,1,231.97,,1,164.683
2,87.61,,2,78.64,,2,230.84,,2,164.086
3,87.1,,3,78.27,,3,229.71,,3,163.489
4,86.59,,4,77.9,,4,228.58,,4,162.892
5,86.08,,5,77.53,,5,227.45,,5,162.295
6,85.57,,6,77.16,,6,226.32,,6,161.698
7,85.06,,7,76.79,,7,225.19,,7,161.101
8,84.55,,8,76.42,,8,224.06,,8,160.504
9,84.04,,9,76.05,,9,222.93,,9,159.907
10,83.53,,10,75.68,,10,221.8,,10,159.31
11,83.02,,11,75.31,,11,220.67,,11,158.713
12,82.51,,12,74.94,,12,219.54,,12,158.116
13,82,,13,74.57,,13,218.41,,13,157.519
14,81.49,,14,74.2,,14,217.28,,14,156.922
15,80.98,,15,73.83,,15,216.15,,15,156.325
16,80.47,,16,73.46,,16,215.02,,16,155.728
17,79.96,,17,73.09,,17,213.89,,17,155.131
18,79.45,,18,72.72,,18,212.76,,18,154.534
19,78.94,,19,72.35,,19,211.63,,19,153.937
20,78.43,,20,71.98,,20,210.5,,20,153.34
21,77.92,,21,71.61,,21,209.37,,21,152.743
22,77.41,,22,71.24,,22,208.24,,22,152.146
23,76.9,,23,70.87,,23,207.11,,23,151.549
24,76.39,,24,70.5,,24,205.98,,24,150.952
25,75.88,,25,70.13,,25,204.85,,25,150.355
26,75.37,,26,69.76,,26,203.72,,26,149.758
27,74.86,,27,69.39,,27,202.59,,27,149.161
28,74.35,,28,69.02,,28,201.46,,28,148.564
29,73.84,,29,68.65,,29,200.33,,29,147.967
30,73.33,,30,68.28,,30,199.2,,30,147.37
31,72.82,,31,67.91,,31,198.07,,31,146.773
32,72.31,,32,67.54,,32,196.94,,32,146.176
33,71.8,,33,67.17,,33,195.81,,33,145.579
34,71.29,,34,66.8,,34,194.68,,34,144.982
35,70.78,,35,66.43,,35,193.55,,35,144.385
36,70.27,,36,66.06,,36,192.42,,36,143.788
37,69.76,,37,65.69,,37,191.29,,37,143.191
38,69.25,,38,65.32,,38,190.16,,38,142.594
39,68.74,,39,64.95,,39,189.03,,39,141.997
40,68.23,,40,64.58,,40,187.9,,40,141.4
41,67.72,,41,64.21,,41,186.77,,41,140.803
42,67.21,,42,63.84,,42,185.64,,42,140.206
43,66.7,,43,63.47,,43,184.51,,43,139.609
44,66.19,,44,63.1,,44,183.38,,44,139.012
45,65.68,,45,62.73,,45,182.25,,45,138.415
46,65.17,,46,62.36,,46,181.12,,46,137.818
47,64.66,,47,61.99,,47,179.99,,47,137.221
48,64.15,,48,61.62,,48,178.86,,48,136.624
49,63.64,,49,61.25,,49,177.73,,49,136.027
50,63.13,,50,60.88,,50,176.6,,50,135.43
51,62.62,,51,60.51,,51,175.47,,51,134.833
52,62.11,,52,60.14,,52,174.34,,52,134.236
53,61.6,,53,59.77,,53,173.21,,53,133.639
54,61.09,,54,59.4,,54,172.08,,54,133.042
55,60.58,,55,59.03,,55,170.95,,55,132.445
56,60.07,,56,58.66,,56,169.82,,56,131.848
57,59.56,,57,58.29,,57,168.69,,57,131.251
58,59.05,,58,57.92,,58,167.56,,58,130.654
59,58.54,,59,57.55,,59,166.43,,59,130.057
60,58.03,,60,57.18,,60,165.3,,60,129.46
61,57.52,,61,56.81,,61,164.17,,61,128.863
62,57.01,,62,56.44,,62,163.04,,62,128.266
63,56.5,,63,56.07,,63,161.91,,63,127.669
64,55.99,,64,55.7,,64,160.78,,64,127.072
65,55.48,,65,55.33,,65,159.65,,65,126.475
66,54.97,,66,54.96,,66,158.52,,66,125.878
67,54.46,,67,54.59,,67,157.39,,67,125.281
68,53.95,,68,54.22,,68,156.26,,68,124.684
69,53.44,,69,53.85,,69,155.13,,69,124.087
70,52.93,,70,53.48,,70,154,,70,123.49
71,52.42,,71,53.11,,71,152.87,,71,122.893
72,51.91,,72,52.74,,72,151.74,,72,122.296
73,51.4,,73,52.37,,73,150.61,,73,121.699
74,50.89,,74,52,,74,149.48,,74,121.102
75,50.38,,75,51.63,,75,148.35,,75,120.505
76,49.87,,76,51.26,,76,147.22,,76,119.908
77,49.36,,77,50.89,,77,146.09,,77,119.311
78,48.85,,78,50.52,,78,144.96,,78,118.714
79,48.34,,79,50.15,,79,143.83,,79,118.117
80,47.83,,80,49.78,,80,142.7,,80,117.52
81,47.32,,81,49.41,,81,141.57,,81,116.923
82,46.81,,82,49.04,,82,140.44,,82,116.326
83,46.3,,83,48.67,,83,139.31,,83,115.729
84,45.79,,84,48.3,,84,138.18,,84,115.132
85,45.28,,85,47.93,,85,137.05,,85,114.535
86,44.77,,86,47.56,,86,135.92,,86,113.938
87,44.26,,87,47.19,,87,134.79,,87,113.341
88,43.75,,88,46.82,,88,133.66,,88,112.744
89,43.24,,89,46.45,,89,132.53,,89,112.147
90,42.73,,90,46.08,,90,131.4,,90,111.55
91,42.22,,91,45.71,,91,130.27,,91,110.953
92,41.71,,92,45.34,,92,129.14,,92,110.356
93,41.2,,93,44.97,,93,128.01,,93,109.759
94,40.69,,94,44.6,,94,126.88,,94,109.162
95,40.18,,95,44.23,,95,125.75,,95,108.565
96,39.67,,96,43.86,,96,124.62,,96,107.968
97,39.16,,97,43.49,,97,123.49,,97,107.371
98,38.65,,98,43.12,,98,122.36,,98,106.774
99,38.14,,99,42.75,,99,121.23,,99,106.177
100,37.63,,100,42.38,,100,120.1,,100,105.58
101,37.12,,101,42.01,,101,118.97,,101,104.983
102,36.61,,102,41.64,,102,117.84,,102,104.386
103,36.1,,103,41.27,,103,116.71,,103,103.789
104,35.59,,104,40.9,,104,115.58,,104,103.192
105,35.08,,105,40.53,,105,114.45,,105,102.595
106,34.57,,106,40.16,,106,113.32,,106,101.998
107,34.06,,107,39.79,,107,112.19,,107,101.401
108,33.55,,108,39.42,,108,111.06,,108,100.804
109,33.04,,109,39.05,,109,109.93,,109,100.207
110,32.53,,110,38.68,,110,108.8,,110,99.61
111,32.02,,111,38.31,,111,107.67,,111,99.013
112,31.51,,112,37.94,,112,106.54,,112,98.416
113,31,,113,37.57,,113,105.41,,113,97.819
114,30.49,,114,37.2,,114,104.28,,114,97.222
115,29.98,,115,36.83,,115,103.15,,115,96.625
116,29.47,,116,36.46,,116,102.02,,116,96.028
117,28.96,,117,36.09,,117,100.89,,117,95.431
118,28.45,,118,35.72,,118,99.76,,118,94.834
119,27.94,,119,35.35,,119,98.63,,119,94.237
120,27.43,,120,34.98,,120,97.5,,120,93.64
121,26.92,,121,34.61,,121,96.37,,121,93.043
122,26.41,,122,34.24,,122,95.24,,122,92.446
123,25.9,,123,33.87,,123,94.11,,123,91.849
124,25.39,,124,33.5,,124,92.98,,124,91.252
125,24.88,,125,33.13,,125,91.85,,125,90.655
126,24.37,,126,32.76,,126,90.72,,126,90.058
127,23.86,,127,32.39,,127,89.59,,127,89.461
128,23.35,,128,32.02,,128,88.46,,128,88.864
129,22.84,,129,31.65,,129,87.33,,129,88.267
130,22.33,,130,31.28,,130,86.2,,130,87.67
131,21.82,,131,30.91,,131,85.07,,131,87.073
132,21.31,,132,30.54,,132,83.94,,132,86.476
133,20.8,,133,30.17,,133,82.81,,133,85.879
134,20.29,,134,29.8,,134,81.68,,134,85.282
135,19.78,,135,29.43,,135,80.55,,135,84.685
136,19.27,,136,29.06,,136,79.42,,136,84.088
137,18.76,,137,28.69,,137,78.29,,137,83.491
138,18.25,,138,28.32,,138,77.16,,138,82.894
139,17.74,,139,27.95,,139,76.03,,139,82.297
140,17.23,,140,27.58,,140,74.9,,140,81.7
141,16.72,,141,27.21,,141,73.77,,141,81.103
142,16.21,,142,26.84,,142,72.64,,142,80.506
143,15.7,,143,26.47,,143,71.51,,143,79.909
144,15.19,,144,26.1,,144,70.38,,144,79.312
145,14.68,,145,25.73,,145,69.25,,145,78.715
146,14.17,,146,25.36,,146,68.12,,146,78.118
147,13.66,,147,24.99,,147,66.99,,147,77.521
148,13.15,,148,24.62,,148,65.86,,148,76.924
149,12.64,,149,24.25,,149,64.73,,149,76.327
150,12.13,,150,23.88,,150,63.6,,150,75.73
151,11.62,,151,23.51,,151,62.47,,151,75.133
152,11.11,,152,23.14,,152,61.34,,152,74.536
153,10.6,,153,22.77,,153,60.21,,153,73.939
154,10.09,,154,22.4,,154,59.08,,154,73.342
155,9.58,,155,22.03,,155,57.95,,155,72.745
156,9.07,,156,21.66,,156,56.82,,156,72.148
157,8.56,,157,21.29,,157,55.69,,157,71.551
158,8.05,,158,20.92,,158,54.56,,158,70.954
159,7.54,,159,20.55,,159,53.43,,159,70.357
160,7.03,,160,20.18,,160,52.3,,160,69.76
161,6.52,,161,19.81,,161,51.17,,161,69.163
162,6.01,,162,19.44,,162,50.04,,162,68.566
163,5.5,,163,19.07,,163,48.91,,163,67.969
164,4.99,,164,18.7,,164,47.78,,164,67.372
165,4.48,,165,18.33,,165,46.65,,165,66.775
166,3.97,,166,17.96,,166,45.52,,166,66.178
167,3.46,,167,17.59,,167,44.39,,167,65.581
168,2.95,,168,17.22,,168,43.26,,168,64.984
169,2.44,,169,16.85,,169,42.13,,169,64.387
170,1.93,,170,16.48,,170,41,,170,63.79
171,1.42,,171,16.11,,171,39.87,,171,63.193
172,0.91,,172,15.74,,172,38.74,,172,62.596
173,0.4,,173,15.37,,173,37.61,,173,61.999
174,-0.11,,174,15,,174,36.48,,174,61.402
,,,175,14.63,,175,35.35,,175,60.805
,,,176,14.26,,176,34.22,,176,60.208
,,,177,13.89,,177,33.09,,177,59.611
,,,178,13.52,,178,31.96,,178,59.014
,,,179,13.15,,179,30.83,,179,58.417
,,,180,12.78,,180,29.7,,180,57.82
,,,181,12.41,,181,28.57,,181,57.223
,,,182,12.04,,182,27.44,,182,56.626
,,,183,11.67,,183,26.31,,183,56.029
,,,184,11.3,,184,25.18,,184,55.432
,,,185,10.93,,185,24.05,,185,54.835
,,,186,10.56,,186,22.92,,186,54.238
,,,187,10.19,,187,21.79,,187,53.641
,,,188,9.82,,188,20.66,,188,53.044
,,,189,9.45,,189,19.53,,189,52.447
,,,190,9.08,,190,18.4,,190,51.85
,,,191,8.71,,191,17.27,,191,51.253
,,,192,8.34,,192,16.14,,192,50.656
,,,193,7.97,,193,15.01,,193,50.059
,,,194,7.6,,194,13.88,,194,49.462
,,,195,7.23,,195,12.75,,195,48.865
,,,196,6.86,,196,11.62,,196,48.268
,,,197,6.49,,197,10.49,,197,47.671
,,,198,6.12,,198,9.36,,198,47.074
,,,199,5.75,,199,8.23,,199,46.477
,,,200,5.38,,200,7.1,,200,45.88
,,,201,5.01,,201,5.97,,201,45.283
,,,202,4.64,,202,4.84,,202,44.686
,,,203,4.27,,203,3.71,,203,44.089
,,,204,3.9,,204,2.58,,204,43.492
,,,205,3.53,,205,1.45,,205,42.895
,,,206,3.16,,206,0.32,,206,42.298
,,,207,2.79,,207,-0.81,,207,41.701
,,,208,2.42,,,,,208,41.104
,,,209,2.05,,,,,209,40.507
,,,210,1.68,,,,,210,39.91
,,,211,1.31,,,,,211,39.313
,,,212,0.94,,,,,212,38.716
,,,213,0.57,,,,,213,38.119
,,,214,0.2,,,,,214,37.522
,,,215,-0.17,,,,,215,36.925
,,,216,-0.54,,,,,216,36.328
,,,,,,,,,217,35.731
,,,,,,,,,218,35.134
,,,,,,,,,219,34.537
,,,,,,,,,220,33.94
,,,,,,,,,221,33.343
,,,,,,,,,222,32.746
,,,,,,,,,223,32.149
,,,,,,,,,224,31.552
,,,,,,,,,225,30.955
,,,,,,,,,226,30.358
,,,,,,,,,227,29.761
,,,,,,,,,228,29.164
,,,,,,,,,229,28.567
,,,,,,,,,230,27.97
,,,,,,,,,231,27.373
,,,,,,,,,232,26.776
,,,,,,,,,233,26.179
,,,,,,,,,234,25.582
,,,,,,,,,235,24.985
,,,,,,,,,236,24.388
,,,,,,,,,237,23.791
,,,,,,,,,238,23.194
,,,,,,,,,239,22.597
,,,,,,,,,240,22
,,,,,,,,,241,21.403
,,,,,,,,,242,20.806
,,,,,,,,,243,20.209
,,,,,,,,,244,19.612
,,,,,,,,,245,19.015
,,,,,,,,,246,18.418
,,,,,,,,,247,17.821
,,,,,,,,,248,17.224
,,,,,,,,,249,16.627
,,,,,,,,,250,16.03
,,,,,,,,,251,15.433
,,,,,,,,,252,14.836
,,,,,,,,,253,14.239
,,,,,,,,,254,13.642
,,,,,,,,,255,13.045
,,,,,,,,,256,12.448
,,,,,,,,,257,11.851
,,,,,,,,,258,11.254
,,,,,,,,,259,10.657
,,,,,,,,,260,10.06
,,,,,,,,,261,9.463
,,,,,,,,,262,8.866
,,,,,,,,,263,8.269
,,,,,,,,,264,7.672
,,,,,,,,,265,7.075
,,,,,,,,,266,6.478
,,,,,,,,,267,5.881
,,,,,,,,,268,5.284
,,,,,,,,,269,4.687
,,,,,,,,,270,4.09
,,,,,,,,,271,3.493
,,,,,,,,,272,2.896
,,,,,,,,,273,2.299
,,,,,,,,,274,1.702
,,,,,,,,,275,1.105
,,,,,,,,,276,0.508
,,,,,,,,,277,-0.089
